num_stories,num_stories_source,num_stories_confidence,NUM_STORY
1,FIELD DERIVED,HIGH CONFIDENCE,1000
1 1/2,FIELD DERIVED,HIGH CONFIDENCE,1001
2,FIELD DERIVED,HIGH CONFIDENCE,1010
3,FIELD DERIVED,HIGH CONFIDENCE,1020
4,FIELD DERIVED,HIGH CONFIDENCE,1030
5,FIELD DERIVED,HIGH CONFIDENCE,1040
MORE THAN 5,FIELD DERIVED,HIGH CONFIDENCE,1050
SPLIT LEVEL,FIELD DERIVED,HIGH CONFIDENCE,1060
1,FIELD DERIVED,LOW CONFIDENCE,1070
1 1/2,FIELD DERIVED,LOW CONFIDENCE,1071
2,FIELD DERIVED,LOW CONFIDENCE,1080
3,FIELD DERIVED,LOW CONFIDENCE,1090
4,FIELD DERIVED,LOW CONFIDENCE,1100
5,FIELD DERIVED,LOW CONFIDENCE,1110
MORE THAN 5,FIELD DERIVED,LOW CONFIDENCE,1120
SPLIT LEVEL,FIELD DERIVED,LOW CONFIDENCE,1130
1,PARCEL DERIVED,HIGH CONFIDENCE,2000
1 1/2,PARCEL DERIVED,HIGH CONFIDENCE,2001
2,PARCEL DERIVED,HIGH CONFIDENCE,2010
3,PARCEL DERIVED,HIGH CONFIDENCE,2020
4,PARCEL DERIVED,HIGH CONFIDENCE,2030
5,PARCEL DERIVED,HIGH CONFIDENCE,2040
MORE THAN 5,PARCEL DERIVED,HIGH CONFIDENCE,2050
SPLIT LEVEL,PARCEL DERIVED,HIGH CONFIDENCE,2060
1,PARCEL DERIVED,LOW CONFIDENCE,2070
1 1/2,PARCEL DERIVED,LOW CONFIDENCE,2071
2,PARCEL DERIVED,LOW CONFIDENCE,2080
3,PARCEL DERIVED,LOW CONFIDENCE,2090
4,PARCEL DERIVED,LOW CONFIDENCE,2100
5,PARCEL DERIVED,LOW CONFIDENCE,2110
MORE THAN 5,PARCEL DERIVED,LOW CONFIDENCE,2120
SPLIT LEVEL,PARCEL DERIVED,LOW CONFIDENCE,2130
1,HAZUS DERIVED,,3000
1 1/2,HAZUS DERIVED,,3001
2,HAZUS DERIVED,,3010
3,HAZUS DERIVED,,3020
4,HAZUS DERIVED,,3030
5,HAZUS DERIVED,,3040
MORE THAN 5,HAZUS DERIVED,,3050
SPLIT LEVEL,HAZUS DERIVED,,3060
1,ESTIMATED,,4000
1 1/2,ESTIMATED,,4001
2,ESTIMATED,,4010
3,ESTIMATED,,4020
4,ESTIMATED,,4030
5,ESTIMATED,,4040
MORE THAN 5,ESTIMATED,,4050
SPLIT LEVEL,ESTIMATED,,4060
1,RESEARCH DERIVED,HIGH CONFIDENCE,5000
1 1/2,RESEARCH DERIVED,HIGH CONFIDENCE,5001
2,RESEARCH DERIVED,HIGH CONFIDENCE,5010
3,RESEARCH DERIVED,HIGH CONFIDENCE,5020
4,RESEARCH DERIVED,HIGH CONFIDENCE,5030
5,RESEARCH DERIVED,HIGH CONFIDENCE,5040
MORE THAN 5,RESEARCH DERIVED,HIGH CONFIDENCE,5050
SPLIT LEVEL,RESEARCH DERIVED,HIGH CONFIDENCE,5060
1,RESEARCH DERIVED,LOW CONFIDENCE,5070
1 1/2,RESEARCH DERIVED,LOW CONFIDENCE,5071
2,RESEARCH DERIVED,LOW CONFIDENCE,5080
3,RESEARCH DERIVED,LOW CONFIDENCE,5090
4,RESEARCH DERIVED,LOW CONFIDENCE,5100
5,RESEARCH DERIVED,LOW CONFIDENCE,5110
MORE THAN 5,RESEARCH DERIVED,LOW CONFIDENCE,5120
SPLIT LEVEL,RESEARCH DERIVED,LOW CONFIDENCE,5130
NOT APPLICABLE,,,NA
NOT PROVIDED,,,NP
